run_id,path,filename,ext,file_type,size_bytes,created,last_modified,last_accessed,sha1,extraction_status,skipped_reason
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10499.pdf,invoice_10499.pdf,.pdf,application/pdf,2031,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.484617+00:00,e45978e3ecdda03b7541af736e07af64e1a3419c,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10498.pdf,invoice_10498.pdf,.pdf,application/pdf,2094,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.505437+00:00,73fb7eadea69896acf4dec6eee9ea27737158bb3,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10473.pdf,invoice_10473.pdf,.pdf,application/pdf,1989,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.539521+00:00,e3fd5b323c2ea241d7591ca54910cd7df3f7d644,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10315.pdf,invoice_10315.pdf,.pdf,application/pdf,1998,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.504942+00:00,ca04d08f3955feb1cf76e6d8544f311a12902ce9,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10301.pdf,invoice_10301.pdf,.pdf,application/pdf,1998,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.539296+00:00,7a935d9fc2d9208cfe9cadee9d383d7c9d138db1,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10467.pdf,invoice_10467.pdf,.pdf,application/pdf,2005,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.522007+00:00,229235ec387d7a2c96c572bb004460b42f2f400a,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10329.pdf,invoice_10329.pdf,.pdf,application/pdf,2120,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.554266+00:00,d1564677baddb77eba0b7a12f33214adbb17198f,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_11037.pdf,invoice_11037.pdf,.pdf,application/pdf,1943,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.619348+00:00,de4daaad08354fb68b9a4cb62a120ceef12ad32c,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_11023.pdf,invoice_11023.pdf,.pdf,application/pdf,2007,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.555193+00:00,6075379fa67cd905bde429759468d9dd2062f6d1,ok,
d0b5646e-237b-4fab-8cae-ccc17c5495fb,/Users/vamsi_mure/Documents/mcp_ai-v2/mcp_ai/input_files/SampleFiles/Company dataset - pdfs/CompanyDocuments/invoices/invoice_10856.pdf,invoice_10856.pdf,.pdf,application/pdf,1996,2024-05-23T12:43:08+00:00,2024-05-23T12:43:08+00:00,2025-08-17T08:52:48.570124+00:00,f9e92ce3b4300b8464dd2e15cfb7b2782f5c3c5b,ok,
